--------------------------------------
Executions completed	Unique Outputs
--------------------------------------
                  50	             3
                 100	             5
                 150	             5
                 200	             6
                 250	             6
                 300	             7
                 350	             7
                 400	             7
                 450	             8
                 500	             8
                 550	             8
                 600	             8
                 650	             8
                 700	             8
                 750	             8
                 800	             8
                 850	             8
                 900	             8
                 950	             8
                1000	             8
                1050	             8
                1100	             8
                1150	             8
                1200	             8
                1250	             8
                1300	             8
                1350	             8
                1400	             8
                1450	             8
                1500	             8
                1550	             8
                1600	             8
                1650	             8
                1700	             8
                1750	             8
                1800	             8
                1850	             8
                1900	             8
                1950	             8
                2000	             8
                2050	             8
                2100	             8
                2150	             9
                2200	             9
                2250	             9
                2300	             9
                2350	             9
                2400	             9
                2450	             9
                2500	             9
                2550	             9
                2600	             9
                2650	             9
                2700	             9
                2750	             9
                2800	             9
                2850	             9
                2900	             9
                2950	             9
                3000	             9
                3050	             9
                3100	             9
                3150	             9
                3200	             9
                3250	             9
                3300	             9
                3350	             9
                3400	             9
                3450	             9
                3500	             9
                3550	            10
                3600	            10
                3650	            10
                3700	            10
                3750	            10
                3800	            10
                3850	            10
                3900	            10
                3950	            10
                4000	            10
                4050	            10
                4100	            10
                4150	            10
                4200	            10
                4250	            11
                4300	            11
                4350	            11
                4400	            11
                4450	            11
                4500	            11
                4550	            11
                4600	            11
                4650	            11
                4700	            11
                4750	            11
                4800	            11
                4850	            11
                4900	            11
                4950	            11
                5000	            11
                5050	            11
                5100	            11
                5150	            11
                5200	            11
                5250	            11
                5300	            11
                5350	            11
                5400	            11
                5450	            11
                5500	            11
                5550	            11
                5600	            11
                5650	            12
                5700	            12
                5750	            12
                5800	            12
                5850	            12
                5900	            12
                5950	            12
                6000	            12
                6050	            12
                6100	            12
                6150	            12
                6200	            12
                6250	            12
                6300	            12
                6350	            12
                6400	            12
                6450	            12
                6500	            12
                6550	            12
                6600	            12
                6650	            12
                6700	            12
                6750	            12
                6800	            12
                6850	            12
                6900	            12
                6950	            12
                7000	            12
                7050	            12
                7100	            12
                7150	            12
                7200	            12
                7250	            13
                7300	            13
                7350	            13
                7400	            13
                7450	            13
                7500	            13
                7550	            13
                7600	            13
                7650	            13
                7700	            13
                7750	            13
                7800	            13
                7850	            13
                7900	            13
                7950	            13
                8000	            13
                8050	            13
                8100	            13
                8150	            13
                8200	            13
                8250	            13
                8300	            13
                8350	            13
                8400	            13
                8450	            13
                8500	            13
                8550	            13
                8600	            13
                8650	            13
